client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_9,0.11384258445442691,0.17647058823529413,10,3.4,3.1685959035509716,1.8551528453826904,1.0,client_9,8,3,0.01,0.01,0.022146940231323242,109381
client_0,3.8647964446524155,0.061224489795918366,45,2.1777777777777776,5.885156049621375,0.44841188192367554,0.6666666666666666,client_0,36,3,0.01,0.01,0.021135330200195312,109381
client_6,2.3180773487318542,0.14285714285714285,11,2.5454545454545454,1.4373989364401725,0.20063091814517975,0.3333333333333333,client_6,8,3,0.01,0.01,0.018995285034179688,109381
client_7,0.19950127706495757,0.07142857142857142,11,2.5454545454545454,1.776801844153824,0.014249605126678944,0.6666666666666666,client_7,8,3,0.01,0.01,0.020136117935180664,109381
client_3,0.1458984640077672,0.08333333333333333,16,3.0,2.1505813167606567,0.35530006885528564,0.5,client_3,12,3,0.01,0.01,0.020141124725341797,109381
client_1,2.0803696296218357,0.18181818181818182,17,2.588235294117647,1.6109486985446062,0.3126152455806732,0.5,client_1,13,3,0.01,0.01,0.018997669219970703,109381
client_5,2.1547055893315306,0.0,12,2.0,1.1547005383792515,0.8494877815246582,0.0,client_5,9,3,0.01,0.01,0.022139310836791992,109381
client_8,3.779271287737407,0.125,11,2.909090909090909,1.7296634173127683,0.12636902928352356,0.0,client_8,8,3,0.01,0.01,0.022137880325317383,109381
client_4,2.0772228409117726,0.11764705882352941,13,2.6153846153846154,2.2027417020425157,1.900477409362793,0.3333333333333333,client_4,10,3,0.01,0.01,0.022137165069580078,109381
client_2,0.3405457918811653,0.21428571428571427,16,3.5,3.0,1.2690393924713135,0.25,client_2,12,3,0.01,0.01,0.016009092330932617,109381
