client,label_skew,homophily,num_components,largest_component_size,component_sizes,avg_degree,std_degree,feature_prototype,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu
client_3,3.7620404879326617,0.6,1,165,[165],6.666666666666667,6.003366059170809,[0.         0.01212121 0.01818182 ... 0.         0.17142005 0.        ],0.47206106781959534,0.7575757575757576,client_3,132,3,0.01,0.01
client_1,2.166983952079415,0.8167006109979633,1,227,[227],8.651982378854626,12.414200091491349,[0.00440529 0.03083701 0.04405286 ... 0.         0.13156974 0.06622615],0.184042289853096,0.7608695652173914,client_1,181,3,0.01,0.01
client_0,5.9602936522018695,0.9581151832460733,1,379,[379],8.063324538258575,14.854659122799463,[0.00791557 0.00791557 0.01583114 ... 0.         0.08861671 0.        ],0.08378736674785614,0.9868421052631579,client_0,303,3,0.01,0.01
client_2,0.42923597048109097,0.6121794871794872,1,189,[189],6.603174603174603,5.951851828334183,[0.01058201 0.01058201 0.01587302 ... 0.14393094 0.22385392 0.07254663],0.2794278562068939,0.8157894736842105,client_2,151,3,0.01,0.01
client_8,6.459999373199401,0.7682926829268293,1,102,[102],6.431372549019608,5.413327424272773,[0.         0.00980392 0.01960784 ... 0.09852821 0.09852824 0.        ],0.18385303020477295,0.8571428571428571,client_8,81,3,0.01,0.01
client_6,3.9412281502421544,0.8628571428571429,1,115,[115],6.086956521739131,7.461862708805768,[0.00869565 0.00869565 0.03478261 ... 0.         0.13072428 0.22237755],0.13678446412086487,0.8695652173913043,client_6,92,3,0.01,0.01
client_4,3.9382603584904325,0.7046413502109705,1,153,[153],6.196078431372549,6.446419509354053,[0.         0.0130719  0.0130719  ... 0.         0.08058067 0.        ],0.28822025656700134,0.7741935483870968,client_4,122,3,0.01,0.01
client_9,11.408190753285892,0.96875,1,99,[99],6.4646464646464645,5.2633920224588495,[0.01010101 0.01010101 0.02020202 ... 0.         0.14069086 0.        ],0.011684929952025414,1.0,client_9,79,3,0.01,0.01
client_7,6.247128595002199,0.9536082474226805,1,112,[112],6.928571428571429,4.008282241885199,[0.02678571 0.01785714 0.08035714 ... 0.         0.2065185  0.        ],0.030506420880556107,1.0,client_7,89,3,0.01,0.01
client_5,7.882329431708232,0.93359375,1,131,[131],7.816793893129771,6.633021172403304,[0.         0.         0.03053435 ... 0.         0.1226135  0.        ],0.0739910751581192,0.9259259259259259,client_5,104,3,0.01,0.01
